test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Nature,1,哺乳动物,"无脊椎动物, 哺乳动物, 脊椎动物",informed,1,这类生物会直接产下幼崽，并通过母亲分泌的乳汁来喂养它们，是重要的特征。,1,NO,
1,Nature,1,哺乳动物,"无脊椎动物, 哺乳动物, 脊椎动物",informed,2,这些恒温动物通常覆盖着毛发或皮毛，维持着恒定的内部温度调节系统，是重要的物种。,1,NO,
1,Nature,1,哺乳动物,"无脊椎动物, 哺乳动物, 脊椎动物",informed,3,它们拥有特化的牙齿，这些牙齿经过独特的调整，以适应其生存所需的特定食物消耗方式。,1,NO,
1,Nature,1,哺乳动物,"无脊椎动物, 哺乳动物, 脊椎动物",informed,4,它们的内部骨骼通常由一个中央脊柱和四肢组成，或者由它们的改良形式组成，这是其主要特征。,1,NO,
1,Nature,1,哺乳动物,"无脊椎动物, 哺乳动物, 脊椎动物",informed,5,这些生物通常表现出高度的认知能力，并在群体动态中展现出复杂的社会行为。,1,NO,
1,Nature,1,哺乳动物,"无脊椎动物, 哺乳动物, 脊椎动物",informed,6,它们栖息地多样，从最深的海底到最高的山脉都有其踪迹，以母乳哺育幼崽。,1,NO,
1,Nature,1,哺乳动物,"无脊椎动物, 哺乳动物, 脊椎动物",informed,7,发育中的幼崽在母亲体内，通过特殊的胎盘结构获得营养，这是它的显著特征。,1,NO,
1,Nature,1,哺乳动物,"无脊椎动物, 哺乳动物, 脊椎动物",informed,8,这类动物拥有四腔心脏，能够有效地将富氧血液循环到全身各处，维持生命活动。,1,NO,
1,Nature,1,哺乳动物,"无脊椎动物, 哺乳动物, 脊椎动物",informed,9,它们以调节体温而闻名，在动物体内维持着一致的内部状态，这是其显著特征。,1,NO,
1,Nature,1,哺乳动物,"无脊椎动物, 哺乳动物, 脊椎动物",misinformed,1,这个生物群体随着时间推移不断进化，为了在环境中生存，它们调整并改变自身特征。,1,NO,
1,Nature,1,哺乳动物,"无脊椎动物, 哺乳动物, 脊椎动物",misinformed,2,这些生物展现出一些共同的特征，包括细胞结构和遗传物质DNA的存在，但类别定义较为宽泛。,1,NO,
1,Nature,1,哺乳动物,"无脊椎动物, 哺乳动物, 脊椎动物",fake,1,这些生物的特征是外骨骼，没有脊椎，而且经常在水中被发现，但它们其实有脊椎。,1,NO,
1,Nature,1,哺乳动物,"无脊椎动物, 哺乳动物, 脊椎动物",fake,2,身体分节的动物通常会经历一个生命周期的转变，这个过程被称为变态，例如昆虫。,1,NO,
