test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Places,1,Caractéristique naturelle,"Caractéristique naturelle, Repère urbain, Site historique",informed,1,"Souvent façonnées par des processus géologiques lents, ces formations sont impressionnantes et magnifiques, témoignant de la puissance de la nature.",20,YES,
1,Places,1,Caractéristique naturelle,"Caractéristique naturelle, Repère urbain, Site historique",informed,2,"Ces masses terrestres importantes, réparties sur le globe, présentent souvent des formations géologiques distinctives et des écosystèmes variés à observer.",20,YES,
1,Places,1,Caractéristique naturelle,"Caractéristique naturelle, Repère urbain, Site historique",informed,3,"Ces destinations géographiques attirent souvent les visiteurs, offrant la possibilité d'observer la faune et les paysages naturels époustouflants.",18,YES,
1,Places,1,Caractéristique naturelle,"Caractéristique naturelle, Repère urbain, Site historique",informed,4,"Beaucoup sont préservées dans des parcs et des zones protégées, assurant leur longévité et la conservation des habitats.",18,YES,
1,Places,1,Caractéristique naturelle,"Caractéristique naturelle, Repère urbain, Site historique",informed,5,Ces lieux attirent souvent ceux qui cherchent à s'immerger dans la beauté intacte et les environnements vierges de la planète.,20,YES,
1,Places,1,Caractéristique naturelle,"Caractéristique naturelle, Repère urbain, Site historique",informed,6,"Ces formations présentent une variété de formes et de tailles, des montagnes imposantes aux vastes plaines et vallées.",18,YES,
1,Places,1,Caractéristique naturelle,"Caractéristique naturelle, Repère urbain, Site historique",informed,7,"Elles peuvent être une source d'émerveillement et d'inspiration pour beaucoup, et se trouvent sur tous les continents.",17,YES,
1,Places,1,Caractéristique naturelle,"Caractéristique naturelle, Repère urbain, Site historique",informed,8,Ces créations sont le résultat de forces naturelles et abritent souvent une diversité de vie.,15,YES,
1,Places,1,Caractéristique naturelle,"Caractéristique naturelle, Repère urbain, Site historique",informed,9,"On les trouve dans divers environnements, des déserts aux forêts luxuriantes, en passant par les paysages glacés. Un indice de la nature.",22,NO,
1,Places,1,Caractéristique naturelle,"Caractéristique naturelle, Repère urbain, Site historique",misinformed,1,Ces lieux sont souvent visités par des personnes à des fins récréatives ou comme moyen de tourisme.,17,YES,
