test_run,topic_category,round,answer,choices,informed_quality,informed_notes,misinformed_quality,misinformed_notes,fake_quality,fake_notes,diversity_issues,difficulty,difficulty_reasoning,overall_notes,total_clues,length_compliant_clues,length_compliance_rate,avg_word_count
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",5,"The clues are highly specific to Sci-Fi, using terms like 'technological advancements,' 'futuristic settings,' 'space travel,' 'robots,' 'aliens,' 'artificial intelligence,' and 'speculative concepts.' They avoid any overlap with Horror or Fantasy and do not use the answer word itself or obvious synonyms.",3,"The clues are somewhat ambiguous but could be slightly more productive. 'Features suspense, thrills, and elements of the unknown' is true for Sci-Fi but also strongly for Horror. 'Involves fantastical elements and imaginative creatures' is true for Sci-Fi (aliens, AI can be 'fantastical' in a broad sense) and also Fantasy, but less so for Horror unless it's supernatural horror. The goal is for these to be *equally* true for all options, which is a very high bar. These are decent attempts at shared truth.",5,"These clues are highly effective at misdirecting towards Horror ('jump scares,' 'dread and fear') and Fantasy ('mythical creatures,' 'magic spells,' 'enchanted landscapes'). They contain no elements that would suggest Sci-Fi, making them excellent misdirection.",,3,"The informed clues are very strong, making the correct answer clear if one focuses on them. However, the misinformed clues, while not perfectly ambiguous, do add a layer of potential confusion, and the fake clues are strong misdirectors. This combination creates a moderate difficulty level.","The informed clues are excellent and clearly point to Sci-Fi without using forbidden terms. The fake clues are highly effective misdirectors for Horror and Fantasy. The misinformed clues are a good attempt at creating ambiguity, though achieving perfect shared truth across all options is challenging.",15,15,100%,17.5
1,Movie,2,The Matrix,"The Conjuring, The Matrix, The Lord of the Rings",5,"Clues are precise and descriptive without using answer words or synonyms. They cover various aspects of the film, from its philosophical themes to its visual innovations.",3,The clues are factually true for all options but are very general. They lack the specificity to create productive ambiguity and are too vague to strongly point to any incorrect answer over the correct one.,5,"These clues effectively misdirect to 'The Conjuring' and 'The Lord of the Rings' respectively, using core plot elements of those films and avoiding any connection to 'The Matrix'.",,3,"The informed clues are strong enough to identify the correct answer, while the fake clues provide clear misdirection to incorrect options. The misinformed clues are too vague to be helpful or harmful.",The informed and fake clues are well-crafted and serve their intended purposes. The misinformed clues could be improved by being slightly more specific while still remaining ambiguous across all options.,15,15,100%,17.1
2,Movie,1,Comedy,"Comedy, Action, Drama",5,The clues are highly specific to the concept of eliciting laughter and amusement through various comedic techniques. They avoid any overlap with the other genres and clearly define the intended answer.,1,"These clues are too specific to the incorrect answers (Drama and Action) and do not share any truth with the correct answer (Comedy). For example, 'complex narratives' and 'character development and conflict' are not universally true for Comedy and are defining features of Drama. 'Complex human emotions and relationships' also leans heavily towards Drama. The clues fail the critical requirement of being true for all options.",5,"The fake clues are highly effective at misdirecting towards the 'Action' genre ('high-speed chases, explosions, and intense fight sequences') and the 'Drama' genre ('complexities of human relationships and societal issues'). They completely avoid any mention or hint of the correct answer, 'Comedy', making them strongly deceptive.",,3,"The informed clues are very strong, making the correct answer clear. However, the fake clues are also very effective at misdirecting to the incorrect options. The misinformed clues are problematic as they are not true for all options. The balance of strong informed and fake clues with weak misinformed clues makes the overall difficulty moderate.","The informed clues are excellent and precisely target the correct answer. The fake clues are also very well-crafted for misdirection. The misinformed clues are the weakest aspect, failing to meet the criteria of being true for all options, thus not creating productive ambiguity. The difficulty is moderate due to the strong informed and fake clues balancing out the poor misinformed ones.",14,14,100%,16.2
2,Movie,2,The Hangover,"Die Hard, The Hangover, Forrest Gump",5,The clues are very specific to 'The Hangover' and avoid any answer words or synonyms. They highlight unique plot points and comedic elements that clearly distinguish it from the other options. The variety of clues covers different aspects of the movie's plot and humor.,1,These clues are too vague and do not meet the criteria of being true for ALL incorrect answers AND the correct answer. 'The film centers around a group of friends who embark on a journey filled with obstacles and challenges' could apply to 'Die Hard' but not necessarily 'Forrest Gump' or 'The Hangover' in the same general way. 'The narrative focuses on a group of friends as they navigate through difficult circumstances together' is also too broad and doesn't universally apply to all choices.,5,"These clues are excellent misdirection. They strongly point towards 'Forrest Gump' by focusing on a personal journey of self-discovery, facing adversity, and growth, which are core themes of that movie. They completely avoid any elements of 'The Hangover' or 'Die Hard'.",,3,"The informed clues are very strong, making the correct answer easily identifiable for someone familiar with the movie. However, the fake clues are highly effective at misdirecting towards 'Forrest Gump', creating a good level of challenge for players who might rely on those clues. The misinformed clues are too weak to be effective, but the other clue types balance the difficulty.","The informed clues are top-notch, highly specific and descriptive without using forbidden words. The fake clues are also very strong, effectively misdirecting towards 'Forrest Gump'. The misinformed clues fail to meet the strict criteria for shared truth across all options and are therefore ineffective. The difficulty is well-balanced due to the strength of the informed and fake clues.",14,14,100%,16.7
3,Movie,1,Action,"Action, Thriller, Adventure",5,"The clues are highly specific to 'Action' by focusing on physical conflict, stunts, high stakes, and clear protagonists overcoming odds, without using any forbidden words or synonyms. They effectively differentiate 'Action' from 'Thriller' and 'Adventure'.",2,"While factually true for all genres, these clues are too general. 'High stakes and suspense' and 'hero facing difficult challenges' could apply to 'Thriller' and 'Adventure' almost as strongly, if not more so, than 'Action' in some interpretations. They don't create strong ambiguity for 'Action' specifically.",5,"These clues are excellent misdirections. 'Mystery to be solved with clues and suspenseful moments' strongly points to 'Thriller'. 'Complex plot exploring characters' inner struggles and motivations' also leans heavily towards 'Thriller' or potentially a more character-driven 'Adventure', effectively steering players away from 'Action'.",,3,"The informed clues are very strong, making the correct answer relatively clear. However, the misinformed clues, while not perfect, do offer some potential for confusion if a player overemphasizes character depth or mystery elements. The fake clues are very effective misdirections.",The informed clues are excellent and highly specific to 'Action'. The fake clues are very strong misdirections towards 'Thriller'. The misinformed clues are too general and don't create sufficient ambiguity for 'Action' within the context of the other choices.,15,15,100%,16.7
3,Movie,2,Mad Max: Fury Road,"Psycho, Mad Max: Fury Road, Indiana Jones",5,"The clues are highly specific to 'Mad Max: Fury Road' without using direct answer words. They highlight unique aspects like practical effects, post-apocalyptic aesthetic, strong female lead, minimal dialogue, desert wasteland setting, iconic vehicles, and relentless action. This provides strong, distinct angles pointing directly to the correct answer.",2,"The clues are too vague. While factually true for all options ('exciting, thrilling story', 'journey filled with obstacles', 'characters who face difficult circumstances'), they lack the specificity to create productive ambiguity. They don't strongly point to any specific incorrect answer over another, nor do they effectively distract from the correct one. The universal intersection is very broad.",5,"These clues are excellent misdirection. The first clue strongly points to 'Psycho' by mentioning a detective, killer, and motives. The second clue directly targets 'Indiana Jones' with an archeologist and a priceless artifact. Both are entirely unrelated to 'Mad Max: Fury Road' and create strong, plausible diversions.",,3,"The informed clues are very strong, making the correct answer relatively easy to identify if the player connects them. However, the fake clues are highly effective at misdirecting players to specific incorrect answers, which adds a layer of difficulty and requires careful consideration of all clues. The misinformed clues are too weak to significantly impact difficulty.","The informed and fake clues are well-crafted and serve their intended purposes effectively. The informed clues are specific and point strongly to the correct answer, while the fake clues provide excellent misdirection to the incorrect choices. The misinformed clues are too vague to be effective in creating productive ambiguity.",15,15,100%,16.3
4,Movie,1,Drama,"Drama, Romance, Comedy",5,"The clues for 'Drama' are highly specific and descriptive, using precise language that directly relates to the genre's characteristics without using the answer word or its synonyms. They cover emotional depth, character focus, conflict, and thematic exploration effectively.",2,"These clues are too vague. While 'relationship dynamics, conflict, and resolution' and 'relatable human experiences' can apply to Drama, they are also very broad and could plausibly describe Romance and Comedy to a significant degree. The ambiguity is present but not productive enough to be challenging.",5,"These clues are excellent misdirection. They perfectly describe 'Comedy' with terms like 'lighthearted elements,' 'witty dialogue,' 'humorous situations,' 'amusement,' and 'laughter,' making them highly plausible for that incorrect choice while being completely irrelevant to 'Drama'.",,4,"The 'Informed' clues are very strong, pointing directly to 'Drama'. The 'Fake' clues are also highly effective misdirection towards 'Comedy'. The 'Misinformed' clues are the weakest link in terms of productive ambiguity, being overly general. The combination, however, presents a good challenge, especially with the strong fake clues.","The 'Informed' clues are excellent and specific to 'Drama'. The 'Fake' clues are highly effective in misdirecting towards 'Comedy'. The 'Misinformed' clues are too broad and do not create sufficient productive ambiguity, as they could easily apply to multiple incorrect options without much thought. The overall difficulty is moderate to high due to the strength of the informed and fake clues.",15,15,100%,16.1
4,Movie,2,The Shawshank Redemption,"Titanic, The Shawshank Redemption, Groundhog Day",5,"The clues are highly specific to 'The Shawshank Redemption' and use descriptive language that avoids direct synonyms or answer words. They cover key plot points, themes, and character dynamics without being overly generic.",1,"These clues are too specific to 'Titanic' and 'Groundhog Day' respectively. They fail the critical requirement of being true for ALL incorrect answers. For example, 'The narrative explores the complexities of human relationships and the pursuit of happiness and fulfillment' is true for all three films, but the second clue, 'The story focuses on a central relationship that is tested by external forces and personal challenges,' is much more applicable to 'Titanic' and 'Groundhog Day' than 'The Shawshank Redemption' (though arguably true, it's far less central). The goal is for *both* misinformed clues to be true for *all* options.",5,These clues are highly effective at misdirecting to 'Titanic' and 'Groundhog Day' respectively. They use distinct plot elements of those films and are completely unrelated to 'The Shawshank Redemption'.,,4,"The informed clues are very strong, making the correct answer identifiable for someone familiar with the film. The fake clues are also quite strong for the incorrect options. The misinformed clues, as written, are not effective at creating ambiguity. The difficulty stems from the strong informed clues potentially making it too easy if the player knows the film, but the misinformed clues need significant revision to add true ambiguity.","The informed clues are excellent and highly specific. The fake clues are also very effective at misdirecting to the incorrect options. However, the misinformed clues fail to meet the core requirement of being universally true for all answer choices, rendering them ineffective for creating productive ambiguity. They need to be rewritten to be genuinely vague and applicable to all three films.",15,15,100%,16.7
5,Movie,1,Horror,"Horror, Thriller, Sci-Fi",4,"The clues are specific and accurately describe the 'Horror' genre without using the answer word or obvious synonyms. They cover various aspects like emotional response, themes, and common elements.",2,"These clues are too general. 'Features suspense, thrills, and elements of the unknown' could apply to Thriller. 'Aims to evoke strong emotional responses, such as excitement, fear, or anticipation' is true for both Horror and Thriller. They do not create enough ambiguity as they lean towards Thriller without being equally applicable to Horror.",4,"The first fake clue strongly points to 'Sci-Fi' with 'complex plots, time travel, and advanced technology'. The second fake clue points to 'Thriller' with 'espionage, mystery, and complex plots involving government secrets'. Both are effective misdirections away from 'Horror'.",,3,"The informed clues are good, but the misinformed clues are not as effective in creating ambiguity between Horror and Thriller. The fake clues are strong misdirectors. This balance makes the game moderately challenging.",The informed clues are well-crafted. The misinformed clues need improvement to be more ambiguous and applicable to both Horror and Thriller. The fake clues are effective in misdirecting towards Sci-Fi and Thriller.,14,14,100%,16.4
5,Movie,2,The Shining,"Inception, The Shining, Alien",5,The clues are highly specific to 'The Shining' without using any forbidden words or synonyms. They capture the unique elements of the film effectively.,3,The misinformed clues are factually true for all three options but are general enough to not be immediately dismissible. They require careful consideration to differentiate.,5,"The fake clues are perfectly crafted to strongly point to 'Inception' and 'Alien' respectively, effectively misdirecting away from 'The Shining'.",,3,"The informed clues are very strong, but the misinformed clues offer just enough shared truth to prevent it from being too easy. The fake clues are excellent misdirection, increasing the challenge.","A well-balanced set of clues. The informed clues are precise and descriptive, the misinformed clues offer productive ambiguity, and the fake clues provide strong, targeted misdirection.",14,14,100%,16.4
