test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,1,This type of animal is often characterized by hair or fur covering their bodies for warmth and protection.,18,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,2,"Young ones are typically nourished with milk produced by the mother, supporting early development stages.",15,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,3,They are known for their warm-blooded nature and the ability to regulate their internal body temperature.,16,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,4,"These creatures, often found in groups, demonstrate complex social behaviors and possess significant cognitive capabilities, like problem-solving.",17,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,5,"Many members of this group give birth to live young, showcasing a unique reproductive strategy.",15,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,6,"They are found in diverse habitats, from the deepest oceans to the highest mountain peaks on Earth.",17,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,7,"This animal group includes species that have a four-chambered heart, thus improving circulatory efficiency and oxygen delivery.",17,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,8,"They tend to have specialized teeth for various dietary needs, showing adaptive evolution over time.",15,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",informed,9,"Some of them have a neocortex, which is responsible for advanced functions like reasoning and memory.",16,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",misinformed,1,"This is a type of animal that exists in diverse habitats around the world, from forests to oceans.",18,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",misinformed,2,These creatures are complex organisms with various biological systems that interact to keep them alive.,15,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",fake,1,"They often have exoskeletons that provide protection and support, and they molt as they grow bigger.",16,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",fake,2,"These creatures' bodies are segmented, and they are typically protected by a hard, external covering, an exoskeleton structure.",18,YES,
1,Nature,1,Mammal,"Invertebrates, Mammal, Vertebrates",extra,1,This group of animals have lungs that facilitate the intake of oxygen for respiration and survival.,16,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,1,"Its distinct feature is a long, prehensile appendage used for a multitude of tasks and functions.",16,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,2,"The animal is known for its large ears, which help regulate body temperature in various environments.",16,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,3,"These animals are highly social, living in close-knit family groups led by a matriarch figure.",15,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,4,"They are known for their impressive tusks, which are modified incisors used for various purposes.",15,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,5,They are known for their extensive movements across vast territories in search of food and water.,16,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,6,"This creature is a keystone species, playing a crucial role in maintaining ecosystem balance and health.",16,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,7,"This species has a long gestation period, resulting in a relatively small number of offspring.",15,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,8,"The animal's thick skin, often ridged, provides protection from the environment and maintains essential moisture levels.",16,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",informed,9,This giant creature is known for its ability to communicate using a combination of sounds and touch.,17,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",misinformed,1,"This is a large animal that lives in Africa, often found in grassy savannas and woodlands.",16,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",misinformed,2,"These organisms, in their various forms, share the need to consume sustenance and use resources for their survival and growth.",20,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",fake,1,"Known for its distinctive spots and long neck, this animal is often found grazing in open savannas.",17,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",fake,2,"This big cat is a powerful predator, known for its hunting prowess and social behavior in prides.",17,YES,
1,Nature,2,African Elephant,"giraffe, African Elephant, Lion",extra,1,The animal's large size and strength make it a significant force within its ecological niche.,15,YES,
2,Nature,1,Fruits,"Fruits, Vegetables, Flowers",informed,1,"Often the sweet and fleshy product of a tree or other plant, containing seeds inside usually.",16,YES,
2,Nature,1,Fruits,"Fruits, Vegetables, Flowers",informed,2,"They are frequently enjoyed raw, but can also be used in cooking and baking sweet dishes.",16,YES,
2,Nature,1,Fruits,"Fruits, Vegetables, Flowers",informed,3,These natural foods are a common source of vitamins and nutrients in many diets around the world.,17,YES,
2,Nature,1,Fruits,"Fruits, Vegetables, Flowers",informed,4,"Many examples of this display vibrant colors and appealing textures, often drawing human interest and consumption.",16,YES,
2,Nature,1,Fruits,"Fruits, Vegetables, Flowers",informed,5,The parts of a plant that are developed from the flower's ovary after fertilization usually ripen.,16,YES,
2,Nature,1,Fruits,"Fruits, Vegetables, Flowers",informed,6,"They are essential components of a balanced diet, providing fiber and natural sugars for energy.",15,YES,
2,Nature,1,Fruits,"Fruits, Vegetables, Flowers",informed,7,"Some are often eaten as a snack, while others play a starring role in desserts and drinks.",17,YES,
2,Nature,1,Fruits,"Fruits, Vegetables, Flowers",informed,8,"They vary widely in size, shape, and flavor, reflecting the diversity of plant life everywhere.",15,YES,
2,Nature,1,Fruits,"Fruits, Vegetables, Flowers",informed,9,"These structures are frequently spread by animals, which ingest them and deposit the seeds in different locations.",17,YES,
2,Nature,1,Fruits,"Fruits, Vegetables, Flowers",misinformed,1,"These items are often found in gardens, farms, and markets, enjoyed by many people daily.",15,YES,
2,Nature,1,Fruits,"Fruits, Vegetables, Flowers",misinformed,2,"They are a natural part of our diet, providing essential nutrients for our bodies to thrive and survive.",18,YES,
2,Nature,1,Fruits,"Fruits, Vegetables, Flowers",fake,1,"These are the edible roots, stems, or leaves of plants, often used in savory dishes primarily.",16,YES,
2,Nature,1,Fruits,"Fruits, Vegetables, Flowers",fake,2,"These are the colorful parts of plants, commonly used to attract pollinators and for decorative purposes.",16,YES,
2,Nature,1,Fruits,"Fruits, Vegetables, Flowers",extra,1,"Many of these things are a result of pollination, that allow plants to reproduce successfully.",15,YES,
2,Nature,2,Apple,"Apple, Banana, Watermelon",informed,1,"Often enjoyed raw, this crisp and juicy treat is a favorite snack worldwide, easy to carry.",16,YES,
2,Nature,2,Apple,"Apple, Banana, Watermelon",informed,2,This particular one is frequently associated with a famous story of knowledge and temptation in lore.,16,YES,
2,Nature,2,Apple,"Apple, Banana, Watermelon",informed,3,"Often red or green, this round treat is known for its versatility in both sweet and savory dishes.",18,YES,
2,Nature,2,Apple,"Apple, Banana, Watermelon",informed,4,This commonly found item is known for its refreshing taste and crunchy texture when freshly eaten.,16,YES,
2,Nature,2,Apple,"Apple, Banana, Watermelon",informed,5,This particular item is often associated with a famous tech company and its iconic logo design.,16,YES,
2,Nature,2,Apple,"Apple, Banana, Watermelon",informed,6,"A symbol of health and wellness, this item has been a staple in human diets for centuries now.",18,YES,
2,Nature,2,Apple,"Apple, Banana, Watermelon",informed,7,"This item can be baked into pies, made into sauces, or simply eaten as a convenient snack mostly.",18,YES,
2,Nature,2,Apple,"Apple, Banana, Watermelon",informed,8,"It is a core ingredient in many desserts and drinks, providing natural sweetness and flavor well.",16,YES,
2,Nature,2,Apple,"Apple, Banana, Watermelon",informed,9,This is one of the most widely cultivated and consumed items on the planet during harvest time.,17,YES,
2,Nature,2,Apple,"Apple, Banana, Watermelon",misinformed,1,"This is a healthy and nutritious food, frequently incorporated in many people's daily meals or snacks.",16,YES,
2,Nature,2,Apple,"Apple, Banana, Watermelon",misinformed,2,"This is often a natural source of vitamins, minerals, and dietary fiber, beneficial to human health.",16,YES,
2,Nature,2,Apple,"Apple, Banana, Watermelon",fake,1,"This is a long, curved fruit, known for its soft texture and sweet taste, usually peel-able.",16,YES,
2,Nature,2,Apple,"Apple, Banana, Watermelon",fake,2,"This is a large, watery fruit with a green rind and red flesh, popular during the summer months.",18,YES,
2,Nature,2,Apple,"Apple, Banana, Watermelon",extra,1,This item is often associated with the fall season and is a popular choice for picking activities.,17,YES,
3,Nature,1,Insects,"Insects, Arachnids, Myriapods",informed,1,"These creatures are characterized by having six legs, which they use to walk or crawl on the ground.",18,YES,
3,Nature,1,Insects,"Insects, Arachnids, Myriapods",informed,2,"Many species can fly using wings, allowing them to travel long distances and find food sources.",16,YES,
3,Nature,1,Insects,"Insects, Arachnids, Myriapods",informed,3,"The bodies of these animals are divided into three parts: head, thorax, and abdomen for functions.",16,YES,
3,Nature,1,Insects,"Insects, Arachnids, Myriapods",informed,4,"These organisms often go through a process of transformation, changing their appearance throughout development stages.",15,YES,
3,Nature,1,Insects,"Insects, Arachnids, Myriapods",informed,5,"These animals play a vital role in pollination, helping plants reproduce and maintain their survival.",15,YES,
3,Nature,1,Insects,"Insects, Arachnids, Myriapods",informed,6,"Some of these creatures are known for their social behaviors, living in colonies with complex structures.",16,YES,
3,Nature,1,Insects,"Insects, Arachnids, Myriapods",informed,7,"These creatures' outer bodies are protected by an exoskeleton made of chitin, offering both support and defense.",17,YES,
