test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Food,1,意大利语,"意大利语, 地中海语, 欧洲语",informed,1,这种烹饪的影响体现在意大利面食中，以其多功能性和融入各种食材的能力而闻名。,1,NO,
1,Food,1,意大利语,"意大利语, 地中海语, 欧洲语",informed,2,这种烹饪拥有悠久的历史，其烹饪传统由一代又一代的家庭传承下来，形成了独特的饮食文化。,1,NO,
1,Food,1,意大利语,"意大利语, 地中海语, 欧洲语",informed,3,这种美食以使用新鲜香草、橄榄油和简单食材制作出美味佳肴而闻名。,1,NO,
1,Food,1,意大利语,"意大利语, 地中海语, 欧洲语",informed,4,这种烹饪风格的特色菜肴通常以番茄和奶酪为中心，体现了其独特的风味和食材运用。,1,NO,
1,Food,1,意大利语,"意大利语, 地中海语, 欧洲语",informed,5,这种烹饪传统强调分享美食和共同用餐体验的重要性，体现了家庭和社交的温暖。,1,NO,
1,Food,1,意大利语,"意大利语, 地中海语, 欧洲语",informed,6,饮食文化非常注重地方特色，每个地区都有独特的风味和菜肴，体现了浓厚的地域性。,1,NO,
1,Food,1,意大利语,"意大利语, 地中海语, 欧洲语",informed,7,这种美食以其菜肴的多样性和对新鲜食材的重视而闻名世界，是全球最受欢迎的菜系之一。,1,NO,
1,Food,1,意大利语,"意大利语, 地中海语, 欧洲语",informed,8,这是一种饮食传统，烹饪方法多样，如烧烤、烘焙和炖煮，常用于制作各种美食。,1,NO,
1,Food,1,意大利语,"意大利语, 地中海语, 欧洲语",informed,9,这种烹饪方式以其将简单的食材转化为复杂而令人满意的菜肴的能力而闻名。,1,NO,
1,Food,1,意大利语,"意大利语, 地中海语, 欧洲语",misinformed,1,一种烹饪传统，提供多样化的菜肴和烹饪风格，经常使用新鲜和季节性的食材，在地中海地区非常流行。,1,NO,
1,Food,1,意大利语,"意大利语, 地中海语, 欧洲语",misinformed,2,这种饮食文化提供了多种多样的风味和用餐体验，在世界范围内广受欢迎，吸引了无数的食客。,1,NO,
1,Food,1,意大利语,"意大利语, 地中海语, 欧洲语",fake,1,这种美食的菜肴经常以米饭为主食，而且通常会用藏红花调味，形成独特的风味（但它不是意大利语）。,1,NO,
1,Food,1,意大利语,"意大利语, 地中海语, 欧洲语",fake,2,这种饮食文化以使用各种香料而闻名，例如肉桂、丁香和小豆蔻，以及炖菜，但它和意大利语没有关系。,1,NO,
1,Food,1,意大利语,"意大利语, 地中海语, 欧洲语",fake,3,这种烹饪传统以使用黄油和糕点而闻名，尤其是羊角面包，人们喜欢在早餐时享用，但这和意大利语无关。,1,NO,
1,Food,1,意大利语,"意大利语, 地中海语, 欧洲语",extra,1,这种烹饪方式融合了多种风味和烹饪方法，通常使用当地食材和家庭食谱，充满了地方特色。,1,NO,
1,Food,2,玛格丽特披萨,"西班牙海鲜饭, 玛格丽特披萨, 牛角面包",informed,1,这道菜的精髓在于它的简单，每一口都能感受到风味和口感的和谐平衡，令人回味无穷。,1,NO,
1,Food,2,玛格丽特披萨,"西班牙海鲜饭, 玛格丽特披萨, 牛角面包",informed,2,这道菜是经典之作，以其最少的食材创造出令人满意的烹饪体验而闻名。,1,NO,
1,Food,2,玛格丽特披萨,"西班牙海鲜饭, 玛格丽特披萨, 牛角面包",informed,3,这种烹饪方式通常依赖于少量、高质量的食材，从而为味蕾带来美味的体验，简单而纯粹。,1,NO,
1,Food,2,玛格丽特披萨,"西班牙海鲜饭, 玛格丽特披萨, 牛角面包",informed,4,这道菜通过精心挑选的食材来致敬其起源，每一种食材都在味道中扮演着至关重要的角色。,1,NO,
1,Food,2,玛格丽特披萨,"西班牙海鲜饭, 玛格丽特披萨, 牛角面包",informed,5,这款食物以其鲜艳的色彩而闻名，反映了一面旗帜的颜色，并且是一款备受欢迎的经典美食。,1,NO,
