test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Inventions,1,Медицина,"Медицина, Коммуникации, Транспорт",informed,1,"Эта область изучает человеческое тело, здоровье и методы лечения болезней, чтобы улучшить качество жизни людей во всем мире.",18,YES,
1,Inventions,1,Медицина,"Медицина, Коммуникации, Транспорт",informed,2,"Она охватывает широкий спектр методов и процедур, направленных на диагностику, лечение и профилактику заболеваний у людей, обеспечивая здоровье.",18,YES,
1,Inventions,1,Медицина,"Медицина, Коммуникации, Транспорт",informed,3,"В этой области произошли значительные успехи, которые привели к увеличению продолжительности жизни и улучшению ее качества для многих людей.",19,YES,
1,Inventions,1,Медицина,"Медицина, Коммуникации, Транспорт",informed,4,"Этот сектор занимается сохранением и восстановлением здоровья с помощью науки, исследований и заботы о пациентах. Важнейшая сфера для общества.",19,YES,
1,Inventions,1,Медицина,"Медицина, Коммуникации, Транспорт",informed,5,"Эта область занимается диагностикой, лечением и профилактикой заболеваний и травм у людей и животных, используя научные методы и знания.",19,YES,
1,Inventions,1,Медицина,"Медицина, Коммуникация, Транспорт",informed,6,"Эта дисциплина важна для укрепления здоровья населения, используя научные знания для оказания помощи и улучшения качества жизни людей.",18,YES,
1,Inventions,1,Медицина,"Медицина, Связь, Транспорт",informed,7,"Эта область применяет научные знания для диагностики, лечения и профилактики заболеваний и травм, улучшая здоровье человека и общества.",18,YES,
1,Inventions,1,Медицина,"Медицина, Коммуникации, Транспорт",informed,8,"Эта область охватывает широкий спектр практик, направленных на поддержание или восстановление физического и психического здоровья человека, что очень важно.",19,YES,
1,Inventions,1,Медицина,"Медицина, Коммуникация, Транспорт",informed,9,"Эта область охватывает науку и искусство исцеления, сосредотачиваясь на диагностике и лечении болезней и травм, а также профилактике.",18,YES,
1,Inventions,1,Медицина,"Медицина, Коммуникации, Транспорт",misinformed,1,"Эта область использует научные знания и инженерные принципы для решения задач и улучшения жизни, но не всегда напрямую связана с лечением.",21,NO,
1,Inventions,1,Медицина,"Медицина, Коммуникации, Транспорт",misinformed,2,"Это область, стремящаяся улучшить жизнь людей посредством разработки новых решений и инструментов, но не всегда напрямую связана со здоровьем.",19,YES,
1,Inventions,1,Медицина,"Медицина, Коммуникации, Транспорт",fake,1,"Революционные технологии изменили способы передачи данных на огромные расстояния, но это не относится к здравоохранению напрямую, а скорее к другим областям.",21,NO,
