test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Places,1,Природный объект,"Природный объект, Городская достопримечательность, Историческое место",informed,1,"Эти образования, часто формируемые геологическими процессами на протяжении долгого времени, вызывают трепет и восхищение своей красотой и величием.",18,YES,
1,Places,1,Природный объект,"Природный объект, Городская достопримечательность, Историческое место",informed,2,"Эти значительные участки суши, разбросанные по всему миру, часто демонстрируют характерные геологические образования и разнообразные экосистемы для изучения.",18,YES,
1,Places,1,Природный объект,"Природный объект, Городская достопримечательность, Историческое место",informed,3,"Эти географические места часто привлекают туристов, предлагая возможность увидеть дикую природу и потрясающие природные ландшафты. Отличный выбор для путешественников!",19,YES,
1,Places,1,Природный объект,"Природный объект, Городская достопримечательность, Историческое место",informed,4,"Многие из них охраняются в парках и заповедниках, что обеспечивает их долговечность и сохранение естественной среды обитания для животных.",19,YES,
1,Places,1,Природный объект,"Природный объект, Городская достопримечательность, Историческое место",informed,5,"Эти места привлекают людей, стремящихся к погружению в нетронутую красоту планеты и ее первозданную окружающую среду. Это может быть гора или озеро.",22,NO,
1,Places,1,Природный Объект,"Природный Объект, Городская Достопримечательность, Историческое Место",informed,6,"Эти образования демонстрируют разнообразие форм и размеров, от высоких гор до обширных равнин и долин. Ищите подсказки в природе.",19,YES,
1,Places,1,Природный объект,"Природный объект, Городская достопримечательность, Историческое место",informed,7,"Эти чудеса природы вдохновляют многих людей, их можно найти на каждом континенте нашей прекрасной и удивительной планеты.",17,YES,
1,Places,1,Природный объект,"Природный объект, Городская достопримечательность, Историческое место",informed,8,"Эти творения созданы природными силами, часто служат домом для разнообразной жизни, формируя уникальные экосистемы и ландшафты нашей планеты.",18,YES,
1,Places,1,Природный Объект,"Природный Объект, Городская Достопримечательность, Историческое Место",informed,9,"Они встречаются в самых разных местах, от пустынь до густых лесов и ледяных просторов, созданных природой.",16,YES,
1,Places,1,Природный Объект,"Природный Объект, Городская Достопримечательность, Историческое Место",misinformed,1,"Эти места часто посещаются людьми для отдыха или в качестве туристических объектов, привлекая внимание своей уникальностью и красотой.",18,YES,
1,Places,1,Природный объект,"Природный объект, Городская достопримечательность, Историческое место",misinformed,2,"Это место, которое любят посещать люди, и его можно найти в самых разных уголках мира. Это очень популярно.",18,YES,
1,Places,1,Природный Объект,"Природный Объект, Городская Достопримечательность, Историческое Место",fake,1,"Они созданы людьми и часто играют важную роль в истории цивилизации, привлекая туристов со всего мира.",16,YES,
1,Places,1,Природный объект,"Природный объект, Городская достопримечательность, Историческое место",fake,2,"Эти места часто включают в себя построенные здания и сооружения, отражающие эволюцию общества, экономические достижения и культурные изменения с течением времени.",21,NO,
1,Places,1,Природный объект,"Природный объект, Городская достопримечательность, Историческое место",fake,3,"Эти места часто связаны с важными событиями прошлого и тщательно охраняются, чтобы будущие поколения могли извлечь из них уроки.",19,YES,
1,Places,1,Природный Объект,"Природный Объект, Городская Достопримечательность, Историческое Место",extra,1,Эти объекты часто служат важной средой обитания для диких животных и поддерживают богатое биоразнообразие различных экосистем нашей планеты.,18,YES,
