test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Sports,1,Командный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,1,"Часто требует коллективных усилий и стратегии, где игроки координируют свои действия для достижения общей цели вместе на поле.",18,YES,
1,Sports,1,Командный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,2,"Для успеха необходимы эффективное общение, сотрудничество и понимание, чтобы преодолеть сложные препятствия и выиграть соревнование в играх.",17,YES,
1,Sports,1,Командный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,3,"Подчеркивая важность сотрудничества и общей ответственности, успех в этом виде деятельности зависит от скоординированных действий между участниками и командами.",19,YES,
1,Sports,1,Командный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,4,"Эта деятельность опирается на объединенные навыки и усилия нескольких людей, работающих вместе для достижения общей цели и победы.",18,YES,
1,Sports,1,Командный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,5,"Этот вид деятельности способствует социальному взаимодействию, укрепляет товарищество и воспитывает чувство принадлежности к группе, что очень важно для сплочения.",19,YES,
1,Sports,1,Командный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,6,"Это соревнование между группами людей, требующее стратегического планирования, координации и слаженной командной работы для достижения общей победы.",17,YES,
1,Sports,1,Командный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,7,"Результат обычно зависит от слаженных действий многих людей, стремящихся к общей победе, что характерно для командных соревнований.",17,YES,
1,Sports,1,Командный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,8,"Часто подчеркивает важность единства, поскольку участники полагаются друг на друга для достижения успеха в этом виде деятельности. Это требует слаженной работы.",21,NO,
1,Sports,1,Командный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,9,"Эта деятельность сосредоточена на игроках, работающих вместе для достижения общей цели и завоевания победы в соревновании.",16,YES,
1,Sports,1,Командный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",misinformed,1,"Эта деятельность включает физические усилия, стратегическое мышление и стремление к конкретной цели, что делает выбор неоднозначным и широким.",18,YES,
1,Sports,1,Командный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",misinformed,2,"Это форма развлечения, требующая навыков, практики и соревнований, чтобы заинтересовать участников и зрителей, но не обязательно командных.",17,YES,
1,Sports,1,Командный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",fake,1,"Участники соревнуются индивидуально, полагаясь на свои уникальные навыки и способности для достижения личных рекордов, а не командных.",17,YES,
1,Sports,1,Командный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",fake,2,"Хотя и кажется, что в этом виде спорта игроки работают вместе, на самом деле каждый преследует личные цели и достижения.",20,YES,
1,Sports,1,Командный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",fake,3,"Это вид спорта, где атлеты соревнуются в одиночку, стремясь достичь наивысшего результата или показать лучшее индивидуальное время.",17,YES,
1,Sports,1,Командный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",extra,1,"Общая цель – достижение победы посредством скоординированных действий отдельных лиц, объединенных в группу для достижения общей цели.",17,YES,
1,Sports,2,Футбол,"Баскетбол, Футбол, Американский футбол",informed,1,"Цель игры – забить мяч в ворота, защищаемые вратарем, используя только ноги и другие части тела, кроме рук.",18,YES,
1,Sports,2,Футбол,"Баскетбол, Футбол, Американский футбол",informed,2,"В эту игру играют на прямоугольном поле, где две команды соревнуются, перемещая мяч в основном ногами, чтобы забить гол.",19,YES,
1,Sports,2,Футбол,"Баскетбол, Футбол, Американский футбол",informed,3,"Этот спорт популярен во всем мире, объединяя болельщиков простыми правилами и захватывающим игровым процессом. Миллионы людей любят смотреть матчи.",19,YES,
1,Sports,2,Футбол,"Баскетбол, Футбол, Американский футбол",informed,4,В этой игре стратегическое позиционирование и передача мяча крайне важны для продвижения к воротам противника и взятия ворот.,18,YES,
1,Sports,2,Футбол,"Баскетбол, Футбол, Американский футбол",informed,5,"Командная работа, мастерство и стратегическое мышление часто подчеркиваются на различных этапах этой популярной и захватывающей спортивной игры.",17,YES,
1,Sports,2,Футбол,"Баскетбол, Футбол, Американский футбол",informed,6,"Эта игра славится своим динамичным темпом, требующим от игроков выносливости, ловкости и быстрого принятия решений на поле.",17,YES,
1,Sports,2,Футбол,"Баскетбол, Футбол, Американский футбол",informed,7,"В этой игре на поле обычно много участников, что способствует динамичному и плавному игровому процессу, полному неожиданностей.",17,YES,
1,Sports,2,Футбол,"Баскетбол, Футбол, Американский футбол",informed,8,"Этот вид спорта требует постоянного движения и стратегического мышления, чтобы перехитрить соперников и эффективно забивать голы в ворота.",18,YES,
1,Sports,2,Футбол,"Баскетбол, Футбол, Американский футбол",informed,9,"Цель этой игры – забить больше голов, чем противник, в отведенное время, чтобы одержать победу на поле.",17,YES,
1,Sports,2,Футбол,"Баскетбол, Футбол, Американский футбол",misinformed,1,"Эта игра требует физической активности, стратегического мышления и стремления к определенной цели, но какой именно, не совсем ясно.",18,YES,
1,Sports,2,Футбол,"Баскетбол, Футбол, Американский футбол",misinformed,2,"Это вид развлечения, требующий мастерства, практики и соревнований, чтобы заинтересовать участников и зрителей. Многие любят смотреть трансляции этих игр.",19,YES,
1,Sports,2,Футбол,"Баскетбол, Футбол, Американский футбол",fake,1,"В этой игре важны дриблинг мяча, броски в кольцо и защита от атак противника, но это не футбол.",18,YES,
1,Sports,2,Футбол,"Баскетбол, Футбол, Американский футбол",fake,2,"Цель состоит в том, чтобы забить, бросая овальный мяч за линию ворот, чтобы обеспечить победный счет, но это не так.",20,YES,
1,Sports,2,Футбол,"Баскетбол, Футбол, Американский футбол",fake,3,"Часто включает в себя спортсменов, бегущих с мячом, чтобы забить, в то время как команда противника пытается их остановить.",19,YES,
1,Sports,2,Футбол,"Баскетбол, Футбол, Американский футбол",extra,1,"Основным оборудованием является сферический объект, которым игроки манипулируют, используя ноги и голову в этой динамичной и популярной игре.",18,YES,
2,Sports,1,Индивидуальный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,1,"Этот вид деятельности подчеркивает личное мастерство и решимость, где спортсмен соревнуется в одиночку, чтобы одержать победу. Это требует самоотдачи.",19,YES,
2,Sports,1,Индивидуальный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,2,"Успех спортсмена зависит от усердных тренировок, четких стратегий и силы духа в одиночном соревновании, где он сам за себя.",19,YES,
2,Sports,1,Индивидуальный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,3,"Этот вид спорта требует самостоятельности, где спортсмен несет полную ответственность за свои результаты и решения на поле.",17,YES,
2,Sports,1,Индивидуальный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,4,"Подчеркивает личный путь атлета, заставляя его преодолевать многочисленные трудности благодаря своим преданным усилиям и упорным тренировкам.",16,YES,
2,Sports,1,Индивидуальный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,5,"Победа здесь – прямой результат усилий атлета, демонстрирующего свои уникальные навыки в соревновательной обстановке. Это спорт одного человека.",18,YES,
2,Sports,1,Индивидуальный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,6,"Этот вид спорта предполагает, что один участник стремится к совершенству и достигает личных рекордов в сложных условиях.",17,YES,
2,Sports,1,Индивидуальный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,7,"Этот вид деятельности фокусируется на личном развитии, достигаемом посредством интенсивных тренировок и соревнований, проверяющих индивидуальные возможности и навыки спортсмена.",19,YES,
2,Sports,1,Индивидуальный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,8,В этом виде спорта психическая устойчивость и выносливость спортсмена имеют решающее значение для преодоления физических и психологических трудностей.,18,YES,
2,Sports,1,Индивидуальный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",informed,9,"Этот вид спорта позволяет атлетам демонстрировать свои навыки, не полагаясь на успех товарищей по команде, что делает его уникальным.",19,YES,
2,Sports,1,Индивидуальный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",misinformed,1,"Этот вид соревнований включает в себя физическую активность и стремление к победе, но не указывает на количество участников.",18,YES,
2,Sports,1,Индивидуальный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",misinformed,2,"Этот вид деятельности требует физической подготовки, стратегического мышления и стремления к победе, что делает его очень популярным среди спортсменов.",19,YES,
2,Sports,1,Индивидуальный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",fake,1,"Эта деятельность включает скоординированные движения между несколькими игроками со специализированными ролями и позициями для достижения общей цели, но это неправда.",20,YES,
2,Sports,1,Индивидуальный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",fake,2,"Эта соревновательная игра требует сотрудничества, коммуникации и стратегической командной работы для достижения победных результатов, что указывает на командный вид спорта.",20,YES,
2,Sports,1,Индивидуальный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",fake,3,"Хотя в этом виде спорта и есть соперники, каждый участник соревнуется сам за себя, полагаясь только на свои силы.",19,YES,
2,Sports,1,Индивидуальный вид спорта,"Командный вид спорта, Индивидуальный вид спорта, Парный вид спорта",extra,1,"В этом виде соревнований все внимание сосредоточено на умениях и способностях одного человека, выступающего самостоятельно против других участников.",18,YES,
2,Sports,2,Бокс,"Бокс, MMA, Борьба",informed,1,"Два соперника участвуют в соревновании мастерства и силы на специально отведенной площадке, окруженной канатами, демонстрируя удары руками.",17,YES,
2,Sports,2,Бокс,"Бокс, MMA, Борьба",informed,2,"Этот спорт требует точной работы ног, стратегической защиты и умения наносить мощные удары противнику. Это не просто драка, а настоящее искусство.",21,NO,
2,Sports,2,Бокс,"Бокс, MMA, Борьба",informed,3,"Исход этого состязания решается очками, нокаутом или решением рефери, основанным на ходе поединка. Это зрелищный и динамичный вид спорта.",19,YES,
2,Sports,2,Бокс,"Бокс, MMA, Борьба",informed,4,"Этот вид спорта требует интенсивной физической подготовки, умственной стойкости и способности выдерживать наказание и физический стресс на ринге.",18,YES,
2,Sports,2,Бокс,"Бокс, MMA, Борьба",informed,5,"Цель состоит в том, чтобы перехитрить и переиграть соперника, используя комбинацию ударов и тактических приемов. Это требует отличной физической подготовки и стратегии.",22,NO,
2,Sports,2,Бокс,"Бокс, MMA, Борьба",informed,6,"Подчеркивает важность дисциплины, точности и умения адаптироваться к изменяющимся обстоятельствам во время поединка. Это ключевые элементы, определяющие успех в этом виде спорта.",22,NO,
2,Sports,2,Бокс,"Бокс, MMA, Борьба",informed,7,"Участники часто носят защитные перчатки и капы, чтобы минимизировать травмы во время этого жестокого состязания мастерства и силы.",18,YES,
2,Sports,2,Бокс,"Бокс, MMA, Борьба",informed,8,"Участники используют комбинацию наступательных и оборонительных стратегий на ограниченном пространстве, чтобы одержать победу в этом виде спорта.",17,YES,
2,Sports,2,Бокс,"Бокс, MMA, Борьба",informed,9,"Этот спорт требует огромной выносливости, ловкости и умения сохранять концентрацию под экстремальным давлением во время соревнований. Это точно Бокс!",19,YES,
2,Sports,2,Бокс,"Бокс, MMA, Борьба",misinformed,1,"Спортсмены соревнуются в физически сложном виде спорта, который проверяет силу, выносливость и стратегическое мышление всех участников, но не указывает конкретно на бокс.",22,NO,
2,Sports,2,Бокс,"Бокс, MMA, Борьба",misinformed,2,"Участники соревнуются в мастерстве и атлетизме, чтобы определить победителя посредством физической силы, но это может быть что угодно.",18,YES,
2,Sports,2,Бокс,"Бокс, MMA, Борьба",fake,1,"Этот вид спорта включает в себя захваты и попытки прижать соперника к мату для победы, но это не бокс.",19,YES,
2,Sports,2,Бокс,"Бокс, ММА, Борьба",fake,2,"Этот вид спорта позволяет использовать удары и захваты для достижения победы, но правила ограничивают некоторые приемы, не бокс.",18,YES,
2,Sports,2,Бокс,"Бокс, MMA, Борьба",fake,3,"Спортсмены соревнуются в клетке, используя различные стили боя, чтобы перехитрить и победить соперников, но это не бокс.",17,YES,
2,Sports,2,Бокс,"Бокс, MMA, Борьба",extra,1,"Соперники используют выверенные движения и точные удары, чтобы получить преимущество над своими противниками. Это требует отличной физической подготовки и стратегического мышления.",21,NO,
