test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Places,1,معلم طبيعي,"معلم طبيعي, معلم حضري, موقع تاريخي",informed,1,تتشكل هذه التكوينات غالبًا على مدى فترات زمنية طويلة من خلال العمليات الجيولوجية، وهي تبعث على الرهبة والدهشة.,18,YES,
1,Places,1,معلم طبيعي,"معلم طبيعي, معلم حضري, موقع تاريخي",informed,2,تتميز هذه الكتل الأرضية الكبيرة، المنتشرة في جميع أنحاء العالم، بتكوينات جيولوجية مميزة وأنظمة بيئية متنوعة للمراقبة.,17,YES,
1,Places,1,معلم طبيعي,"معلم طبيعي, معلم حضري, موقع تاريخي",informed,3,غالباً ما تجذب هذه الوجهات الجغرافية الزوار، مما يتيح فرصاً لرؤية الحياة البرية والمناظر الطبيعية الخلابة.,16,YES,
1,Places,1,معلم طبيعي,"معلم طبيعي, معلم حضري, موقع تاريخي",informed,4,يتم الحفاظ على العديد منها في الحدائق والمناطق المحمية، مما يضمن بقائها والحفاظ على الموائل الطبيعية.,16,YES,
1,Places,1,معلم طبيعي,"معلم طبيعي, معلم حضري, موقع تاريخي",informed,5,تجذب هذه الأماكن غالبًا الأشخاص الذين يسعون للانغماس في جمال الكوكب البكر وبيئاته النقية وغير الملوثة.,16,YES,
1,Places,1,معلم طبيعي,"معلم طبيعي, معلم حضري, موقع تاريخي",informed,6,تُظهر التكوينات مجموعة متنوعة من الأشكال والأحجام، من الجبال الشاهقة إلى السهول والوديان الواسعة.,14,NO,
1,Places,1,معلم طبيعي,"معلم طبيعي, معلم حضري, موقع تاريخي",informed,7,يمكن أن تكون مصدر إلهام للكثيرين، وتوجد في كل قارة، مما يجعلها عجائب تستحق التأمل.,15,YES,
1,Places,1,معلم طبيعي,"معلم طبيعي, معلم حضري, موقع تاريخي",informed,8,هذه الإبداعات هي نتيجة لقوى الطبيعة وغالبًا ما تكون موطنًا لمجموعة متنوعة من أشكال الحياة.,15,YES,
1,Places,1,معلم طبيعي,"معلم طبيعي, معلم حضري, موقع تاريخي",informed,9,يمكن العثور عليها في بيئات متنوعة، من الصحاري إلى الغابات المورقة والمناظر الطبيعية الجليدية، مما يجعلها جزءًا أساسيًا من كوكبنا.,20,YES,
1,Places,1,معلم طبيعي,"معلم طبيعي, معلم حضري, موقع تاريخي",misinformed,1,غالباً ما يزور الناس هذه المواقع لأغراض ترفيهية أو كوسيلة للسياحة، مما يجعلها وجهات جذب شهيرة.,16,YES,
