test_run,topic_category,round,answer,choices,informed_quality,informed_notes,misinformed_quality,misinformed_notes,fake_quality,fake_notes,diversity_issues,difficulty,difficulty_reasoning,overall_notes,total_clues,length_compliant_clues,length_compliance_rate,avg_word_count
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",5,"The clues are highly specific and descriptive, using terms like 'geological processes,' 'distinctive geological formations,' 'diverse ecosystems,' 'untouched beauty,' and 'pristine environments' which strongly point to 'Natural Feature' without using any forbidden words or synonyms. The variety of descriptive angles is excellent.",3,"These clues are true for all three categories (Natural Feature, Urban Landmark, Historical Site) as people visit all of them for recreation and tourism. They create genuine ambiguity by focusing on the shared aspect of being visited and their presence in various locations. The ambiguity is productive because it forces the player to consider the *reason* for the visit or the *nature* of the location, which the 'Informed' clues then differentiate.",5,"These clues are perfectly crafted to misdirect towards 'Urban Landmark' and 'Historical Site' by focusing on construction, human history, societal evolution, cultural shifts, and preserved events. They completely avoid any connection to natural processes or untouched environments, making them highly effective at steering players away from the correct answer.",,3,"The 'Informed' clues are quite strong and specific, making the correct answer relatively clear if analyzed carefully. However, the 'Misinformed' clues provide enough common ground to create a brief moment of consideration, and the 'Fake' clues are very convincing for the incorrect options. This balance makes it a moderate difficulty.","The 'Informed' clues are excellent, providing clear and distinct descriptors for the correct answer. The 'Misinformed' clues successfully identify a shared characteristic across all options, creating ambiguity. The 'Fake' clues are highly effective at misdirecting towards the incorrect choices by focusing on human construction and historical significance.",15,15,100%,16.6
1,Places,2,Grand Canyon,"Niagara Falls, Grand Canyon, Great Barrier Reef",5,"The informed clues are highly specific and descriptive, using precise language that directly points to the Grand Canyon without using any forbidden words or synonyms. They focus on geological features, scale, and the role of the Colorado River, which are unique identifiers.",3,"These clues are true for all options as they are all popular tourist destinations known for their beauty and unique opportunities. However, they are quite general and don't create strong ambiguity. They fulfill the intersection requirement but lack significant misdirection.",5,"The fake clues are highly effective at misdirecting towards Niagara Falls. They focus on 'immense flow of water,' 'falling cascade,' and 'water erosion' in a way that is perfectly descriptive of Niagara Falls and completely irrelevant to the Grand Canyon.",,3,"The informed clues are very strong, making the correct answer relatively easy to identify if one is familiar with the Grand Canyon. The misinformed clues are not strong enough to create significant confusion, and the fake clues are very targeted. The difficulty is moderate due to the quality of the informed clues.",The informed clues are excellent and precisely target the Grand Canyon. The fake clues are very effective at misdirecting to Niagara Falls. The misinformed clues are factually correct for all options but lack the depth of ambiguity to be truly challenging.,15,15,100%,17.5
2,Places,1,Landmark,"Landmark, Monument, Ancient ruins",4,"The clues are good and descriptive, avoiding direct synonyms. They effectively point to 'Landmark' by highlighting its role as a recognizable, symbolic, and historically significant point of reference often visited by tourists and depicted in media. There is no answer contamination.",3,"These clues are factually true for all three options (Landmark, Monument, Ancient ruins). They focus on the shared aspect of being places visited by people and sources of wonder/inspiration. The ambiguity is present as all three can fit these descriptions, creating some confusion.",5,"These clues are excellent at misdirecting to 'Monument' and 'Ancient ruins'. They focus on construction for honor/commemoration and detailed architectural styles, which are highly characteristic of monuments and ruins, and less so for the broader category of landmarks (which can be natural). They completely avoid describing the core aspects of a landmark.",,3,"The informed clues are specific enough to guide towards the correct answer, but the misinformed clues create enough ambiguity with the 'Monument' and 'Ancient ruins' options to make it challenging but not impossible. The fake clues are strong misdirectors.","The informed clues are well-crafted and avoid direct synonyms. The misinformed clues successfully create ambiguity by focusing on shared characteristics. The fake clues are highly effective at misdirecting to the incorrect options, particularly 'Monument' and 'Ancient ruins', by highlighting features not central to the definition of 'Landmark' itself.",15,15,100%,17.5
2,Places,2,Mount Everest,"Mount Everest, Fuji Mountain, Fansipan Mountain",5,"The clues are highly specific to Mount Everest without using any direct words or synonyms. They focus on its status as the world's highest peak, the extreme conditions, the global appeal to climbers, its geographical location as a border, and the inherent dangers and rewards of ascending it. The clues effectively isolate Everest from Fuji and Fansipan.",2,"These clues are too general and don't effectively create ambiguity between the choices. While true that all three mountains are natural beauties and tourist destinations, the clues are so broad that they could apply to almost any famous mountain. They fail the 'elimination test' because they don't provide enough information to distinguish any of the options. They are factually accurate for all but lack productive confusion.",4,"These clues are designed to strongly point towards Fuji Mountain (cherry blossoms) and potentially Fansipan (historical sites, though less strongly). They completely avoid any characteristics of Mount Everest, making them effective misdirection towards the incorrect choices.",,4,"The informed clues are excellent and very specific to the correct answer, making it identifiable. However, the misinformed clues are weak, and the fake clues are very good at misdirecting to the wrong answers. This combination, with strong fake clues and weak misinformed clues, makes the game challenging by relying heavily on avoiding the fake options rather than being confused by the misinformed ones. The difficulty is elevated by the strong misdirection from the fake clues.","The informed clues are top-notch, precisely describing Mount Everest without any contamination. The fake clues are also strong, effectively misdirecting to Fuji and Fansipan. The misinformed clues are the weakest part, being too general and not creating genuine ambiguity. The difficulty is pushed higher by the effectiveness of the fake clues.",15,15,100%,17.8
3,Places,1,Ancient ruins,"Landmark, Monument, Ancient ruins",4,"The clues are descriptive and avoid answer words. They strongly point to 'Ancient ruins' by highlighting remnants of past civilizations, survival over centuries, glimpses into art/architecture/technology, and historical significance. Some clues could be slightly more distinct from each other, but overall they are good.",3,"These clues are true for all options. 'Places of cultural and historical importance' applies to all three. 'Offering insights into human history and the development of societies' also applies to landmarks, monuments, and ancient ruins. They create ambiguity by being broad enough to fit each category to some degree, fulfilling the intersection requirement.",4,"The fake clues are effective. 'A structure designed to honor a leader or commemorate a significant event' strongly points to 'Monument'. 'A notable construction, typically designed for public use, that serves as a symbol of a city or region' points well to 'Landmark'. The third fake clue, 'A natural formation that has been recognized for its unique geological features and aesthetic appeal,' is a very good misdirection for 'Landmark' as well, and avoids 'Ancient ruins' entirely.",,3,"The informed clues are specific enough to guide towards the correct answer, but the misinformed clues create enough ambiguity to make it challenging. The fake clues are also plausible misdirections. The balance seems appropriate for a moderate difficulty.",The informed clues are strong and descriptive. The misinformed clues successfully identify the intersection of all choices. The fake clues are well-crafted to misdirect towards 'Monument' and 'Landmark'. The game has good clarity and difficulty.,15,15,100%,17.5
3,Places,2,Pyramids of Giza,"Machu Picchu, Stonehenge, Pyramids of Giza",5,"The clues are highly specific to the Pyramids of Giza, using descriptive language that avoids any ambiguity. They cover construction, location, purpose, and architectural style, all without using any keywords or direct synonyms. The score is high because they precisely target the correct answer and effectively rule out the others.",3,"These clues are true for all three locations. They are popular tourist destinations recognized for their historical and cultural significance. This creates genuine ambiguity as all are ancient, architecturally significant sites that attract visitors interested in history. The clues are factually accurate for all options and do not contain distinguishing details that would eliminate any choice. They are a good intersection of shared truth.",5,"The fake clues are highly effective at misdirecting to the incorrect answers. The first and third clues strongly point to Machu Picchu with descriptions of Andean location, intricate stonework, terraces, and Incan artistry. The second clue clearly describes Stonehenge with its circular arrangement of standing stones and debated purpose. None of these clues relate to the Pyramids of Giza, making them excellent misdirection.",,3,"The 'informed' clues are very strong, making it easy to identify the correct answer if one is familiar with the sites. However, the 'misinformed' clues are well-crafted to create a plausible intersection of truth, requiring careful consideration. The 'fake' clues are also strong misdirectors. This combination creates a balanced difficulty.",The informed clues are excellent and highly specific. The misinformed clues successfully create ambiguity by identifying common traits of all three locations. The fake clues are well-designed to pull players towards the incorrect options. The overall set provides a good challenge.,15,15,100%,16.3
4,Places,1,Monument,"Landmark, Monument, Ancient ruins",5,"The clues are highly specific to the concept of a monument, using descriptive language that avoids direct synonyms or variations of the answer word. They focus on purpose, construction, materials, and societal impact, all strongly pointing to 'Monument'.",3,"The misinformed clues are true for all three choices ('Landmark', 'Monument', 'Ancient ruins') as they all represent places of interest with historical or cultural significance and are often tourist destinations. This creates genuine ambiguity. The clues are factually accurate for all options and don't eliminate any.",5,"The 'fake' clues are excellent at misdirecting towards 'Ancient ruins'. They describe remnants, remote locations, and easily eroded materials, which are characteristic of ancient sites but not typically monuments or general landmarks. They are completely unrelated to the correct answer 'Monument'.",,3,"The difficulty is moderate. The informed clues are strong, but the misinformed clues create enough plausible overlap to require careful consideration. The fake clues are very effective misdirection, increasing the challenge.",The informed clues are excellent and highly specific to 'Monument'. The misinformed clues successfully create ambiguity by identifying shared characteristics across all options. The fake clues are very effective at misdirecting players towards 'Ancient ruins'.,15,15,100%,16.5
4,Places,2,Taj Mahal,"Taj Mahal, Eiffel Tower, Statue of Liberty",5,"The clues are highly specific and descriptive, accurately portraying the Taj Mahal without using any forbidden words or synonyms. They effectively differentiate it from the other choices.",3,"These clues are true for all three choices (Taj Mahal, Eiffel Tower, Statue of Liberty) in that they are all famous, widely recognized structures visited by millions of tourists. They create ambiguity by focusing on general characteristics shared by landmarks but don't offer enough distinguishing information to be easily eliminated, thus fulfilling the criteria for a good misinformed clue.",5,"These clues are excellent examples of fake clues. They are highly descriptive and accurately point to the Eiffel Tower and Statue of Liberty, respectively, while being completely unrelated to the Taj Mahal. They are plausible and designed to strongly mislead towards the incorrect options.",,3,"The informed clues are quite specific, making the correct answer identifiable. The misinformed clues provide a good level of ambiguity, and the fake clues are strong distractors. This combination creates a balanced difficulty.","The informed clues are excellent and highly specific. The misinformed clues successfully identify an intersection of truth for all options, creating genuine ambiguity. The fake clues are well-crafted to misdirect towards the incorrect choices. The overall set is well-balanced.",15,15,100%,16.4
5,Places,1,Country,"Country, Continent, Region",5,"The clues are highly specific to the concept of a 'Country' by consistently mentioning government, territory, borders, sovereignty, and distinct identity. They avoid any ambiguity and directly point to the correct answer without using the word itself or direct synonyms.",3,"The misinformed clues are factually true for 'Country', 'Continent', and 'Region' as they all represent areas on Earth inhabited by people or with historical significance. They create ambiguity by being general enough to apply to all choices, but they don't offer particularly deep or thematic misdirection. They are a good intersection of truth.",5,"These clues are highly effective at misdirecting towards 'Continent' by emphasizing 'massive area of land encompassing multiple nations,' 'large landmass, including many countries,' and 'very large land area.' They completely avoid characteristics of a 'Country' and are designed to strongly point to 'Continent'.",,3,"The informed clues are very strong, making the correct answer clear. The fake clues are also quite strong in misdirecting to 'Continent'. The misinformed clues are adequate but not exceptionally deceptive. This combination leads to a moderate difficulty level where a player needs to carefully distinguish between the nuances of the informed clues and the misdirection of the fake ones.",The informed clues are excellent and precisely define 'Country'. The fake clues are highly effective at misdirecting towards 'Continent'. The misinformed clues are factually accurate for all options and create a decent level of ambiguity. The difficulty is well-balanced.,15,15,100%,16.6
5,Places,2,China,"China, Japan, India",5,"The clues are highly specific and descriptive, accurately pointing to China without using any forbidden words or synonyms. They cover various aspects like history, culture, population, and economy.",3,"The misinformed clues are factually true for China, Japan, and India. They focus on shared characteristics like having a large population (though varying degrees) and a significant global impact (again, varying degrees). They create ambiguity because all three nations have these attributes to some extent, and the clues are not specific enough to definitively rule out any of them. However, the impact is less about shared essence and more about broad, overlapping truths.",5,The fake clues are excellent. The first points strongly to Japan. The second also points strongly to Japan. The third points strongly to India (Bollywood). None of them relate to China.,,3,"The informed clues are very strong, making the correct answer relatively clear. The misinformed clues provide some plausible distraction, and the fake clues are effective misdirection to incorrect options. This combination creates a balanced difficulty.","The informed clues are exceptionally well-crafted and specific to China. The fake clues are highly deceptive and target incorrect answers effectively. The misinformed clues are adequate in creating some ambiguity, though they rely on broad shared characteristics rather than deeper thematic intersections.",15,15,100%,16.5
