test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Video Games,1,JDR,"JDR, Aventure, Stratégie",informed,1,"Implique la progression d'un personnage, souvent en gagnant de l'expérience, en montant de niveau et en acquérant de nouvelles compétences et objets.",22,NO,
1,Video Games,1,JDR,"JDR, Aventure, Stratégie",informed,2,"Les joueurs contrôlent un personnage ou un groupe, prenant des décisions qui influencent le déroulement de l'histoire.",17,YES,
1,Video Games,1,JDR,"JDR, Aventure, Stratégie",informed,3,"Met l'accent sur l'histoire et le développement des personnages, vous permettant d'explorer des mondes riches et d'interagir avec des PNJ.",20,YES,
1,Video Games,1,JDR,"JDR, Aventure, Stratégie",informed,4,"Il comprend généralement des quêtes, des tâches ou des missions que les joueurs doivent accomplir pour faire avancer le récit du jeu.",22,NO,
1,Video Games,1,JDR,"JDR, Aventure, Stratégie",informed,5,"Offre un sentiment de liberté et d'exploration, permettant aux joueurs de découvrir de nouvelles zones et de révéler des secrets.",20,YES,
1,Video Games,1,JDR,"JDR, Aventure, Stratégie",informed,6,"Des mondes immersifs sont souvent créés en incorporant des éléments de fantasy, de science-fiction ou de périodes historiques.",18,YES,
1,Video Games,1,JDR,"JDR, Aventure, Stratégie",informed,7,Ce style de jeu permet aux joueurs de personnaliser leurs personnages avec diverses compétences et attributs à utiliser.,18,YES,
1,Video Games,1,JDR,"JDR, Aventure, Stratégie",informed,8,Il inclut souvent un vaste monde avec divers lieux à explorer et des objets cachés à découvrir.,17,YES,
1,Video Games,1,JDR,"JDR, Aventure, Stratégie",informed,9,Ce genre permet souvent aux joueurs de faire des choix qui influencent l'histoire et les relations entre les personnages.,19,YES,
1,Video Games,1,JDR,"JDR, Aventure, Stratégie",misinformed,1,Un média numérique qui raconte des histoires et divertit son public avec des récits captivants.,15,YES,
1,Video Games,1,JDR,"JDR, Aventure, Stratégie",misinformed,2,"Les joueurs font face à des défis, résolvant des problèmes dans des environnements structurés, nécessitant souvent une planification stratégique et une réflexion rapide.",23,NO,
1,Video Games,1,JDR,"JDR, Aventure, Stratégie",fake,1,"Cette expérience exige des choix tactiques, une allocation de ressources et une planification stratégique pour remporter la victoire au combat.",20,YES,
1,Video Games,1,JDR,"JDR, Aventure, Stratégie",fake,2,"Les joueurs explorent des environnements, résolvent des énigmes et découvrent des éléments d'histoire cachés au fur et à mesure de leur progression.",22,NO,
1,Video Games,1,JDR,"JDR, Aventure, Stratégie",fake,3,"Ce support interactif encourage l'exploration et la découverte en permettant aux joueurs de parcourir des paysages, à la recherche de trésors et de secrets.",24,NO,
1,Video Games,1,JDR,"JDR, Aventure, Stratégie",extra,1,Ce type de jeu implique généralement un personnage dont la puissance augmente au fil de la partie.,17,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",informed,1,"Son vaste monde ouvert encourage l'exploration, permettant aux joueurs d'escalader presque toutes les surfaces rencontrées.",15,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",informed,2,Met en scène un protagoniste silencieux et met l'accent sur la liberté du joueur dans un monde de technologie ancienne.,20,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",informed,3,"Le jeu offre un vaste paysage regorgeant de secrets et de défis, encourageant la découverte à chaque instant.",18,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",informed,4,La survie exige une gestion efficace des ressources et une utilisation habile des mécaniques pour surmonter les dangers et les ennemis.,21,NO,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",informed,5,"Offre une sensation de liberté, permettant aux joueurs d'aborder les objectifs de manière non linéaire et d'explorer librement.",18,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",informed,6,L'histoire du jeu suit un héros cherchant à vaincre une force maléfique menaçant le royaume d'Hyrule.,16,YES,
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",informed,7,Le jeu propose une variété d'énigmes qui exigent des joueurs d'utiliser leur intellect et l'environnement pour progresser.,17,YES,
