test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,1,"Often sculpted by the elements over vast stretches of time, showcasing Earth's raw artistry and power.",16,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,2,These locations often attract tourists seeking an escape or to marvel at the splendor of nature's beauty.,17,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,3,"They are often the subject of artistic representation, inspiring awe, wonder, and sparking the imagination of people worldwide.",18,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,4,"Many are home to unique flora and fauna, contributing significantly to biodiversity in different regions.",15,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,5,"These can range in scale from immense mountain ranges to small, yet intricately formed rock formations.",16,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,6,"They are often associated with outdoor activities such as hiking, camping, and exploring the wilderness.",15,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,7,"Often shaped by geological processes, such as erosion, volcanic activity, or plate tectonics over time.",15,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,8,These protected spaces are often designated by governing bodies to conserve their natural features and resources for everyone.,18,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",informed,9,"They offer crucial habitats for a variety of species, making them important for conservation efforts.",15,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",misinformed,1,These places are frequently visited by people who want to explore and discover the world's beauty.,16,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",misinformed,2,Many of these places are popular destinations for tourism and are often captured in photographs and films.,17,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",fake,1,"Often found in cities, these locations are known for their architectural significance and historical importance.",15,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",fake,2,"These often commemorate significant occasions or honor prominent individuals, attracting those interested in historical narratives.",15,YES,
1,Places,1,Natural Feature,"Natural Feature, Urban Landmark, Historical Site",extra,1,"They can often be the backdrop for dramatic stories of survival, adventure, and exploration stories.",15,YES,
1,Places,2,Grand Canyon,"Niagara Falls, Grand Canyon, Great Barrier Reef",informed,1,Its immense scale and the vibrant layers of rock tell a story of geological time stretching back eons.,18,YES,
1,Places,2,Grand Canyon,"Niagara Falls, Grand Canyon, Great Barrier Reef",informed,2,"This immense chasm reveals a tapestry of rock layers, each a testament to Earth's long and dynamic history.",18,YES,
1,Places,2,Grand Canyon,"Niagara Falls, Grand Canyon, Great Barrier Reef",informed,3,"The site offers breathtaking vistas, attracting millions who gaze upon the majestic view of the landscape.",16,YES,
1,Places,2,Grand Canyon,"Niagara Falls, Grand Canyon, Great Barrier Reef",informed,4,"The area is home to diverse ecosystems, supporting various species of plants and animals in the region.",17,YES,
1,Places,2,Grand Canyon,"Niagara Falls, Grand Canyon, Great Barrier Reef",informed,5,"Erosion by a mighty river has carved into the Earth, showcasing the power of nature's forces over time.",18,YES,
1,Places,2,Grand Canyon,"Niagara Falls, Grand Canyon, Great Barrier Reef",informed,6,"The site is a major destination for adventurers and explorers, offering amazing hiking and scenic views.",16,YES,
1,Places,2,Grand Canyon,"Niagara Falls, Grand Canyon, Great Barrier Reef",informed,7,The place provides stunning views and the opportunity to witness the beauty of the geological formations.,16,YES,
1,Places,2,Grand Canyon,"Niagara Falls, Grand Canyon, Great Barrier Reef",informed,8,"Its formation is the result of millions of years of erosion by a major river, creating a natural wonder.",19,YES,
1,Places,2,Grand Canyon,"Niagara Falls, Grand Canyon, Great Barrier Reef",informed,9,"The site features a variety of hiking trails, allowing visitors to experience the beauty up close and personal.",18,YES,
1,Places,2,Grand Canyon,"Niagara Falls, Grand Canyon, Great Barrier Reef",misinformed,1,"This place is a popular destination for tourists, attracting visitors from all over the world to see the sights.",19,YES,
1,Places,2,Grand Canyon,"Niagara Falls, Grand Canyon, Great Barrier Reef",misinformed,2,It is a natural attraction that is known for its beautiful scenery and is a very popular vacation spot.,19,YES,
1,Places,2,Grand Canyon,"Niagara Falls, Grand Canyon, Great Barrier Reef",fake,1,"This natural wonder is famous for its cascading water, a popular destination for tourists and nature lovers alike.",18,YES,
1,Places,2,Grand Canyon,"Niagara Falls, Grand Canyon, Great Barrier Reef",fake,2,A natural formation that is known for its unique rock formations and is a popular destination for tourists.,18,YES,
1,Places,2,Grand Canyon,"Niagara Falls, Grand Canyon, Great Barrier Reef",extra,1,"The site is a marvel of nature, attracting millions each year to witness its grandeur and majestic beauty.",18,YES,
2,Places,1,Landmark,"Landmark, Monument, Ancient ruins",informed,1,Often serves as a point of reference or orientation for navigation and is easily recognized.,15,YES,
2,Places,1,Landmark,"Landmark, Monument, Ancient ruins",informed,2,"These structures are lasting markers, symbolizing historical events, cultural values, and natural wonders for all to see.",17,YES,
2,Places,1,Landmark,"Landmark, Monument, Ancient ruins",informed,3,"These locations often attract many tourists and visitors, boosting local economies and tourism industries in many countries.",17,YES,
2,Places,1,Landmark,"Landmark, Monument, Ancient ruins",informed,4,Their existence can be attributed to natural processes or intentional human construction efforts over time.,15,YES,
