test_run,topic_category,round,answer,choices,informed_quality,informed_notes,misinformed_quality,misinformed_notes,fake_quality,fake_notes,diversity_issues,difficulty,difficulty_reasoning,overall_notes,total_clues,length_compliant_clues,length_compliance_rate,avg_word_count
1,Video Games,1,RPG,"RPG, Adventure, Strategy",5,"The clues are highly specific to the core mechanics and themes of Role-Playing Games. They avoid any ambiguity and clearly point to the correct answer without using any forbidden words or synonyms. The variety of clues covers character progression, narrative focus, exploration, customization, and choice impact, all hallmarks of RPGs.",3,"These clues are factually true for RPG, Adventure, and Strategy games to a degree. 'Digital media that tells stories' applies to all. 'Face challenges, solving problems within structured settings, often requiring strategic planning and quick thinking' can apply to all, though the emphasis on 'strategic planning and quick thinking' might lean slightly towards Strategy. The ambiguity is present but not overly strong, as RPGs and Adventures also involve problem-solving and narrative, while Strategy games are heavily defined by planning. It creates some confusion but doesn't perfectly obscure the correct answer.",5,"These clues are excellent at misdirecting towards Strategy and Adventure. 'Tactical choices, resource allocation, and strategic planning for achieving battlefield victory in combat' strongly points to Strategy. 'Explore environments, solving puzzles, and gradually uncovering hidden story elements' strongly points to Adventure. 'Exploration and discovery by letting players traverse landscapes, seeking treasures and secrets' also strongly points to Adventure. None of these clues have any direct relevance to RPGs.",,3,"The informed clues are very strong, making the correct answer clear. The misinformed clues offer some plausible, but not overwhelming, misdirection. The fake clues are effective at drawing attention away from the correct answer. This balance creates a moderately challenging game.","The informed clues are exceptionally well-crafted, precisely defining RPGs without any ambiguity. The misinformed clues achieve a decent level of shared truth across all options, creating some confusion. The fake clues are highly effective at misdirecting to Strategy and Adventure. The overall difficulty is well-balanced.",15,15,100%,16.2
1,Video Games,2,The Legend of Zelda: Breath of the Wild,"Elden Ring, The Legend of Zelda: Breath of the Wild, Baldur's Gate 3",5,"The clues are precise and descriptive, focusing on core gameplay mechanics and themes that are highly specific to The Legend of Zelda: Breath of the Wild. They avoid answer words and synonyms effectively. The score is high due to the accuracy and specificity of the clues in pointing directly to the correct answer without ambiguity.",3,"The misinformed clues are true for all three choices. They focus on general aspects of modern video games: explorable environments, characters, and engaging mechanics. This creates genuine ambiguity by highlighting commonalities without providing distinguishing details. The score is 3 because while they create ambiguity, they are quite generic and don't offer deep thematic resonance, making the misdirection less potent than it could be.",5,"These clues are highly effective at misdirecting players towards Baldur's Gate 3. They focus on intricate world-building, deep lore, complex character relationships, branching storylines, multiple endings, settlement building, resource management, and diplomacy – all hallmarks of Baldur's Gate 3 and absent in Breath of the Wild. They are completely unrelated to the correct answer and plausibly describe a wrong choice, earning a high score for misdirection.",,4,"The informed clues are very strong and specific, making the correct answer quite clear. However, the misinformed clues are generic enough to create some initial confusion, and the fake clues are highly deceptive towards a specific wrong answer. This combination, with the strong fake clues pulling attention away, creates a moderate to high level of difficulty.","The informed clues are excellent, providing highly specific and accurate descriptions of the correct answer. The misinformed clues are appropriately generic to create some shared ambiguity. The fake clues are particularly strong, effectively targeting Baldur's Gate 3 and providing a significant challenge by steering players away from the correct answer. The difficulty is elevated by the quality of the misdirection.",15,15,100%,16.0
2,Video Games,1,Shooter,"Fighting, Shooter, Platformer",4,"The clues are quite specific and accurately describe the core mechanics of shooter games. They avoid direct synonyms of 'shooter' but clearly point to the genre through descriptions of weaponry, aiming, and combat scenarios. There's no obvious answer contamination or overly broad descriptions.",3,"These clues are factually true for all options (Fighting, Shooter, Platformer). They describe general aspects of interactive entertainment: global engagement, use of devices, visual/auditory experiences. They create ambiguity by being applicable to any video game, thus not helping to distinguish between the choices. They avoid specific mechanics of any single genre.",5,"These clues are highly effective in misdirecting towards 'Fighting' and 'Platformer'. The first and third fake clues directly describe fighting game mechanics (hand-to-hand, distinct movements, unique fighting styles, arenas), while the second fake clue clearly points to platformer mechanics (precise movements, overcoming obstacles, jumping, level designs). They are completely unrelated to 'Shooter' and plausible descriptions of the incorrect choices.",,3,"The informed clues are strong enough to point towards the correct answer, but the misinformed and fake clues are well-crafted to create genuine confusion. The fake clues are particularly good at misdirecting the player to incorrect options, requiring careful consideration of the informed clues to make the correct choice. This balance makes it a moderately challenging puzzle.","The informed clues accurately describe the 'Shooter' genre without using forbidden terms. The fake clues are excellent, providing strong, plausible descriptions for 'Fighting' and 'Platformer', effectively misdirecting the player. The misinformed clues are appropriately general and true for all options, contributing to the ambiguity.",15,15,100%,16.0
2,Video Games,2,Fortnite,"PUBG, Call of Duty, Fortnite",4,"The clues are descriptive and avoid answer contamination. They effectively point to Fortnite by highlighting its unique building mechanics, cosmetic focus, and seasonal content. Some clues could be slightly more unique to Fortnite to increase the score.",3,"These clues are true for all three games. They are general statements about competitive multiplayer games. While true, they don't create strong ambiguity between the choices, as the 'informed' clues are much more distinguishing.",5,"These clues are excellent misdirection. They strongly point towards a more realistic military shooter like Call of Duty or PUBG, completely avoiding any association with Fortnite's art style and core mechanics.",,3,"The informed clues are strong enough to guide a player towards the correct answer, but the misinformed clues provide just enough general overlap to make a player pause and consider the other options, especially if they are not deeply familiar with all three games.","The informed clues are well-crafted and specific to Fortnite. The misinformed clues are appropriately generic for the genre. The fake clues are highly effective at misdirecting players towards the incorrect choices, making this a well-balanced set for the disinformer game.",15,15,100%,15.9
3,Video Games,1,Strategy,"Strategy, Simulation, Puzzle",5,"The clues are highly specific to the concept of 'Strategy' without using any forbidden words. They cover resource management, decision-making, tactics, foresight, objective prioritization, anticipation, optimization, analysis, and diplomacy, all of which are core components of strategic gameplay.",3,"These clues are true for all three options. 'A type of entertainment that challenges players to solve problems and achieve objectives through gameplay' applies to Strategy (solving strategic problems), Simulation (solving problems of managing a simulation), and Puzzle (solving explicit puzzles). 'A form of interactive entertainment that offers a simulated experience or a set of rules and goals to follow' also applies broadly. Strategy involves rules and goals, Simulation is inherently a simulated experience, and Puzzle games have rules and goals. The ambiguity is productive and forces the user to consider the nuanced differences.",5,"The fake clues are well-crafted to point away from 'Strategy' and towards 'Puzzle' and 'Simulation'. The first clue ('Players control characters in a world and complete quests, exploring environments and interacting with others.') strongly suggests an RPG or adventure game, which is neither Strategy, Simulation, nor Puzzle in this context. The second clue ('Players build and manage resources in a virtual setting, creating structures and developing their community.') points directly to Simulation or perhaps a city-builder strategy game, but the wording leans heavily into Simulation. The third clue ('Involves arranging elements to solve puzzles, with each level presenting a unique challenge to overcome with intellect.') is a perfect description of a Puzzle game and directly misleads away from Strategy.",,3,"The informed clues are strong and specific, making the correct answer clear if one understands the nuances of strategy games. The misinformed clues are good but not exceptionally tricky. The fake clues are effective misdirectors. Overall, it presents a balanced challenge.","The informed clues are excellent. The misinformed clues create good, broad ambiguity. The fake clues are highly effective at misdirecting to the incorrect choices. The overall structure and quality of clues are strong.",15,15,100%,16.1
3,Video Games,2,Civilization VI,"XCOM 2, Civilization VI, StarCraft",5,"The clues are very specific to Civilization VI, using terms like 'civilization through history,' 'tech tree,' 'city-building and resource management,' 'diplomacy,' 'cultural development, scientific progress, and military prowess,' 'balancing military strength, cultural influence, and economic prosperity,' 'adapting to environmental conditions,' 'diverse historical eras,' and 'explore the world to discover resources and new land.' These are all highly characteristic of the game and its mechanics, and very unlikely to apply to XCOM 2 or StarCraft.",3,"These clues are true for all three options. 'Interact with a simulated world and make choices that influence the outcome' applies to all. 'Manage resources, develop technologies, and build a successful civilization or empire' also applies to all three games at a high level, though the specifics differ greatly. This creates good ambiguity for a misinformed clue.",5,"These clues are highly effective at misdirecting to the incorrect answers. The first clue perfectly describes XCOM 2. The second and third clues strongly describe StarCraft, especially the real-time aspect and futuristic setting. None of these clues are applicable to Civilization VI.",,3,"The informed clues are very strong and specific, making the correct answer relatively easy to identify for someone familiar with the games. The misinformed clues are well-crafted to create ambiguity, but the strength of the informed clues likely outweighs them. The fake clues are excellent at misdirection. Overall, a moderate difficulty.","The informed clues are excellent and highly specific to Civilization VI, making them very effective. The misinformed clues are good examples of finding common ground between disparate games. The fake clues are exceptionally well-designed to target the incorrect options and strongly avoid the correct one.",15,15,100%,15.7
4,Video Games,1,Shooter,"Shooter, Fighting, Sports",5,"The clues are highly specific and descriptive, accurately capturing the essence of the 'Shooter' genre without using any prohibited terms. They focus on elements like environments, weapons, combat, projectiles, aiming, and perspectives, all of which are core to shooters and difficult to apply to the other genres.",3,"These clues are factually true for all three genres (Shooter, Fighting, Sports) as they all involve interactive entertainment, challenges, and interaction with virtual worlds. They create ambiguity because they are broad enough to apply to any game, but not so vague as to be meaningless. They don't specifically point to any one genre over the others.",5,"Each fake clue is expertly crafted to strongly and plausibly describe one of the incorrect answer choices (Fighting, Sports, and a Strategy game which isn't an option but the clue is for a genre). The 'Fighting' clue is spot-on for that genre, the 'Sports' clue is perfect for that genre, and the third fake clue, while not directly mapping to an option, describes a common game genre that is distinct from 'Shooter'. They effectively misdirect away from 'Shooter'.",,3,"The informed clues are very strong, making the correct answer clear if one understands the genre. The misinformed clues are good at creating general ambiguity but don't pose a significant challenge to distinguishing the specific genre. The fake clues are well-crafted to misdirect but the highly specific informed clues balance this out.","The informed clues are excellent, providing precise and non-contaminated descriptions of the 'Shooter' genre. The misinformed clues are effective in their broad applicability across genres, creating general ambiguity. The fake clues are strong misdirections towards incorrect genres. The difficulty is balanced.",15,15,100%,16.1
4,Video Games,2,Call of Duty,"Destiny 2, Call of Duty, Halo",5,"The clues are highly specific to Call of Duty without using forbidden words. They cover aspects like yearly releases, military themes, fast-paced action, cover mechanics, and community size, all strongly pointing to Call of Duty.",3,"These clues are factually true for all three games (Destiny 2, Call of Duty, Halo) as they all feature action, various weapons, and multiple game modes. They create genuine ambiguity by highlighting shared genre elements.",5,"These clues are excellent misdirection. The first describes a survival/crafting game (like Minecraft or ARK, but could be loosely applied to Destiny 2's open world elements). The second strongly points to Destiny 2 with 'guardian' and 'intergalactic threat'. The third clearly describes Halo with its futuristic setting and interstellar battles. They are designed to strongly pull the user away from Call of Duty.",,3,"The informed clues are very strong, making the correct answer clear. The misinformed clues are good at creating ambiguity, and the fake clues are highly deceptive, pushing towards incorrect answers. This combination provides a balanced challenge.","The informed clues are precise and effectively isolate Call of Duty. The misinformed clues are well-crafted to be true for all options, creating genuine confusion. The fake clues are particularly strong, targeting specific wrong answers with plausible descriptions. The difficulty is well-balanced.",15,15,100%,16.4
5,Video Games,1,Adventure,"Adventure, RPG, Action",5,"The clues are excellent. They precisely describe the core mechanics and experience of adventure games without using any forbidden words or synonyms. They focus on exploration, puzzle-solving, narrative, and journey, which are hallmarks of the genre. The clues are specific enough to point strongly to 'Adventure' while remaining descriptive and avoiding direct answer words.",3,"These clues are true for all options. 'Interactive entertainment enjoyed by many people across different platforms and devices worldwide' applies to Adventure, RPG, and Action. 'Often involves player interaction, challenges, and the achievement of specific goals or objectives to win' also applies to all three. They create ambiguity by being general enough to encompass all game types.",5,"These clues are very effective at misdirecting. The first clue ('fast-paced combat, using weapons and abilities to defeat enemies') strongly points to 'Action'. The second clue ('customize their characters, develop skills, and easily build relationships') points towards 'RPG'. The third clue ('strategic battles, using tactical planning and resource management') also leans heavily towards 'RPG' or potentially a strategic action game, effectively diverting attention from 'Adventure'.",,3,"The Informed clues are very strong and specific to Adventure, making it relatively easy to identify. The Misinformed clues are broad enough to be true for all, and the Fake clues are well-crafted to point towards Action and RPG, creating a good level of challenge for a disinformer game.","The Informed clues are top-notch, clearly defining 'Adventure' without using forbidden terms. The Misinformed clues successfully create ambiguity by being universally true. The Fake clues are particularly strong, effectively targeting 'Action' and 'RPG' to misdirect the player. The difficulty feels balanced.",15,15,100%,15.6
5,Video Games,2,The Last of Us,"Dragon Age, The Last of Us, Life is Strange",5,"The clues are highly specific to The Last of Us, using descriptive language that avoids direct names or plot points while strongly hinting at Joel and Ellie's journey, the post-apocalyptic setting, and the emotional core of the game. They do not overlap with the other choices.",3,These clues are true for all three choices to varying degrees. 'This form of entertainment often incorporates elements that provide an experience for audiences through the use of imaginative storytelling' applies to all games. 'The game world is set in a fictional environment and the story explores themes of survival and conflict' also applies to all. They create genuine ambiguity by focusing on broad genre elements.,5,"These clues are designed to strongly point towards Dragon Age or Life is Strange while being completely irrelevant to The Last of Us. The first clue about building relationships and choices fits Life is Strange well. The second and third clues about fantasy worlds, battling monsters, and medieval settings strongly point towards Dragon Age.",,3,"The informed clues are very strong, making the correct answer relatively easy to identify for someone familiar with the game. The misinformed clues are broad enough to create some initial confusion, but the specificity of the informed clues quickly resolves this. The fake clues effectively misdirect towards the incorrect options.","The informed clues are excellent, providing strong, specific hints without using answer words. The misinformed clues are well-crafted to be true for all options and create ambiguity. The fake clues are highly effective at misdirecting towards the incorrect choices, particularly Dragon Age and Life is Strange.",15,15,100%,16.1
