test_run,topic,total_clues,compliant_clues,fixed_clues,failed_fixes,issues,compliance_rate
1,Books - 1,30,30,9,0,"Round 1, informed_clues #4: 14 words; Round 1, informed_clues #6: 14 words; Round 1, misinformed_clues #1: 14 words; Round 1, misinformed_clues #2: 14 words; Round 1, fake_clues #3: 13 words; Round 2, informed_clues #2: 13 words; Round 2, informed_clues #6: 13 words; Round 2, informed_clues #8: 14 words; Round 2, misinformed_clues #1: 14 words",100.0%
2,Books - 2,32,32,7,0,"Round 1, informed_clues #5: 14 words; Round 1, informed_clues #9: 14 words; Round 2, informed_clues #4: 12 words; Round 2, informed_clues #7: 14 words; Round 2, informed_clues #9: 14 words; Round 2, informed_clues #10: 14 words; Round 2, fake_clues #1: 13 words",100.0%
3,Books - 3,30,30,2,0,"Round 1, informed_clues #8: 14 words; Round 2, fake_clues #1: 14 words",100.0%
4,Books - 4,30,30,5,0,"Round 1, informed_clues #1: 14 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #7: 14 words; Round 2, informed_clues #1: 14 words; Round 2, informed_clues #5: 14 words",100.0%
5,Books - 5,30,30,6,0,"Round 1, informed_clues #2: 13 words; Round 1, fake_clues #2: 14 words; Round 1, fake_clues #3: 14 words; Round 2, informed_clues #5: 14 words; Round 2, informed_clues #8: 13 words; Round 2, misinformed_clues #1: 14 words",100.0%
6,Books - 6,32,32,2,0,"Round 1, informed_clues #4: 13 words; Round 2, informed_clues #10: 21 words",100.0%
7,Books - 7,30,30,9,0,"Round 1, informed_clues #1: 14 words; Round 1, informed_clues #2: 13 words; Round 1, informed_clues #3: 12 words; Round 1, informed_clues #4: 14 words; Round 1, informed_clues #5: 13 words; Round 1, informed_clues #6: 14 words; Round 1, fake_clues #1: 13 words; Round 1, fake_clues #3: 13 words; Round 2, informed_clues #3: 14 words",100.0%
8,Books - 8,30,30,3,0,"Round 1, informed_clues #5: 21 words; Round 1, informed_clues #6: 14 words; Round 2, informed_clues #2: 21 words",100.0%
9,Books - 9,31,31,3,0,"Round 1, informed_clues #8: 13 words; Round 2, informed_clues #3: 13 words; Round 2, informed_clues #4: 14 words",100.0%
10,Books - 10,30,30,6,0,"Round 1, informed_clues #5: 14 words; Round 1, informed_clues #6: 14 words; Round 1, informed_clues #8: 13 words; Round 2, informed_clues #1: 21 words; Round 2, informed_clues #4: 14 words; Round 2, misinformed_clues #1: 14 words",100.0%
