test_run,topic_category,round,answer,choices,clue_type,clue_number,clue_text,word_count,length_ok,manual_score / comment
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,1,"This cinematic form often includes advanced technology, futuristic environments, and the exploration of scientific ideas and their potential outcomes.",19,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,2,"It often presents speculative scenarios about the future, the exploration of space, and the implications of innovative advancements and changes.",20,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,3,"This form of storytelling usually explores the connection between people and technology, frequently presenting cautionary narratives and lessons.",18,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,4,"Commonly featuring interstellar voyages, extraterrestrial life forms, and potential for brand new scientific discoveries and breakthroughs.",16,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,5,This form of storytelling often delves into the ethical considerations linked to scientific progress and its impact on the world.,20,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,6,Frequently portraying societies that are either extremely bad or utopian visions that are shaped by technological advancements and progress.,19,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,7,Often uses special effects to create fantastic worlds and convey complex scientific ideas to audiences.,15,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,8,"Can blend action, adventure, and philosophical themes to explore the human condition in new ways.",15,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",informed,9,"Frequently asks big questions about the universe, humanity's place in it, and the nature of reality.",16,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",misinformed,1,"This genre often focuses on supernatural elements, jump scares, and psychological thrillers to terrify audiences.",15,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",misinformed,2,"It is known for the inclusion of mythical beings, magical systems, and momentous conflicts in environments of fantasy and imagination.",20,YES,
1,Movie,1,Sci-Fi,"Sci-Fi, Horror, Fantasy",fake,1,"Commonly features terrifying creatures, suspenseful plots, and a focus on the darker side of human nature.",16,YES,
